Author_name,topic,title,Abstract,year,Source,label
gemini,machine learning,Data Science vs. Statistics: Two Cultures?,"Data science and statistics are two closely related fields that share many commonalities. However, there is also a growing divide between the two cultures, with data scientists often focusing on predictive modeling while statisticians are more concerned with inference and causal inference. This paper explores the differences and similarities between the two cultures, highlighting the potential for collaboration and cross-fertilization of ideas.",2024,gemini,AI
gemini,machine learning,Estimation and Inference of Treatment Effects with $L_2$-Boosting in High-Dimensional Settings,"This paper proposes a new method for estimating and inferring treatment effects using $L_2$-boosting in high-dimensional settings. The method is based on a penalized likelihood approach and uses a novel boosting algorithm that is specifically designed for high-dimensional data. The proposed method is shown to be both efficient and robust, and it outperforms existing methods in terms of both accuracy and computational time.",2024,gemini,AI
gemini,machine learning,SenseNet: 3D Objects Database and Tactile Simulator,"SenseNet is a novel 3D objects database and tactile simulator that enables researchers to create and interact with realistic virtual objects. The database includes a wide range of objects with detailed geometric and material properties. The tactile simulator provides realistic haptic feedback, allowing users to feel the shape, texture, and stiffness of virtual objects. SenseNet is designed to facilitate research in robotics, haptics, and virtual reality.",2024,gemini,AI
gemini,machine learning,ZOOpt: Toolbox for Derivative-Free Optimization,"ZOOpt is a toolbox for derivative-free optimization that offers a suite of algorithms and tools for solving complex optimization problems. ZOOpt utilizes a variety of techniques, including evolutionary algorithms, Bayesian optimization, and gradient-free methods. The toolbox provides a flexible framework for handling different optimization scenarios, including constrained optimization, multi-objective optimization, and black-box optimization. ZOOpt is designed to be efficient, robust, and scalable for large-scale optimization problems.",2024,gemini,AI
gemini,machine learning,Towards Building an Intelligent Anti-Malware System: A Deep Learning Approach using Support Vector Machine (SVM) for Malware Classification,"This paper presents a novel approach to building an intelligent anti-malware system using deep learning and support vector machines (SVM). The system utilizes a deep neural network to extract features from malware samples and employs an SVM for malware classification. The proposed system is evaluated on a large dataset of malware and benign samples, achieving high accuracy and robustness in detecting various types of malware. This work contributes to the advancement of malware detection techniques and promotes the development of more secure computing systems.",2024,gemini,AI
gemini,machine learning,Learning Relevant Features of Data with Multi-scale Tensor Networks,"This paper proposes a new method for learning relevant features of data using multi-scale tensor networks. The method leverages the power of tensor networks to represent and compress high-dimensional data. By decomposing the data into a series of smaller tensors, the method can identify and extract features at different scales. This approach allows for the discovery of both local and global patterns in the data, leading to a more comprehensive understanding of the underlying structure.",2024,gemini,AI
gemini,machine learning,Neurally Plausible Model of Robot Reaching Inspired by Infant Motor Babbling,"This paper presents a neurally plausible model of robot reaching inspired by infant motor babbling. The model employs a recurrent neural network that learns to control the robot's arm through repeated interactions with the environment. The model is trained using a reinforcement learning framework, where the robot receives rewards for reaching target objects. The results demonstrate that the model can learn to reach for objects with varying positions and orientations, showcasing the potential of this approach for developing more natural and intelligent robotic systems.",2024,gemini,AI
gemini,machine learning,Restricted Boltzmann Machines for Robust and Fast Latent Truth Discovery,"This paper explores the use of Restricted Boltzmann Machines (RBMs) for robust and fast latent truth discovery. RBMs are a type of generative model that can be trained to represent complex data distributions. The authors demonstrate how RBMs can be employed to uncover hidden patterns and structures in data, leading to a better understanding of the underlying truth. This work contributes to the field of data analysis and provides a powerful tool for uncovering insights from complex datasets.",2024,gemini,AI
gemini,machine learning,Using Deep Neural Network Approximate Bayesian Network,This paper proposes a novel method for using deep neural networks to approximate Bayesian networks. The method utilizes a deep neural network to model the conditional probability distributions of the Bayesian network. This approach enables the efficient learning of complex probabilistic models and allows for the inference of hidden variables. The authors demonstrate the effectiveness of this method on several benchmark datasets and highlight its potential applications in various fields.,2024,gemini,AI
gemini,machine learning,Non-invasive biomarkers of fetal brain development reflecting prenatal stress: an integrative multi-scale multi-species perspective on data collection and analysis,"This research explores the development of non-invasive biomarkers of fetal brain development that reflect prenatal stress, employing a multi-scale and multi-species perspective on data collection and analysis. The study aims to identify biological markers in various bodily fluids, including maternal blood and amniotic fluid, that correlate with the impact of stress on fetal brain development. This integrative approach utilizes data from diverse animal models and human studies to unravel complex interactions between maternal stress, fetal brain development, and potential downstream consequences for child health.",2024,gemini,AI
gemini,machine learning,Early detection of Crossfire attacks using deep learning,"This paper investigates the use of deep learning for early detection of crossfire attacks, which are malicious attempts to disrupt network traffic by exploiting vulnerabilities in communication protocols. The proposed deep learning model analyzes network traffic patterns and identifies deviations from normal behavior that indicate a potential crossfire attack. The paper evaluates the model's performance on a real-world dataset and demonstrates its effectiveness in detecting crossfire attacks with high accuracy and low false-positive rates.",2024,gemini,AI
gemini,machine learning,"Unstable modes in projection-based reduced-order models: How many can there be, and what do they tell you?","This paper examines the phenomenon of unstable modes in projection-based reduced-order models, which are simplified representations of complex systems. The authors explore the question of how many unstable modes can exist in such models and what insights these modes provide about the original system. The paper develops theoretical frameworks and numerical methods to analyze the stability of reduced-order models and to understand the relationship between unstable modes and the underlying system dynamics.",2024,gemini,AI
gemini,machine learning,Machine Learning for Building Energy and Indoor Environment: A Perspective,"This paper provides a comprehensive perspective on the application of machine learning techniques in the field of building energy and indoor environment. The authors discuss various machine learning algorithms and their applications to tasks such as building energy prediction, indoor climate control, and occupant comfort analysis. The paper also highlights the challenges and opportunities in integrating machine learning into building systems and emphasizes the importance of data quality and model interpretability.",2024,gemini,AI
gemini,machine learning,Transfer learning for diagnosis of congenital abnormalities of the kidney and urinary tract in children based on Ultrasound imaging data,"This study focuses on applying transfer learning to diagnose congenital abnormalities of the kidney and urinary tract (CAKUT) in children using ultrasound imaging data. By leveraging pre-trained models developed for other medical image analysis tasks, the proposed approach aims to enhance the accuracy and efficiency of CAKUT diagnosis. The paper evaluates the performance of the transfer learning model and compares it to traditional machine learning methods, demonstrating the potential of this approach for improving CAKUT diagnosis in clinical settings.",2024,gemini,AI
gemini,machine learning,Effects of Home Resources and School Environment on Eighth-Grade Mathematics Achievement in Taiwan,"This research investigates the impact of home resources and school environment on eighth-grade mathematics achievement in Taiwan. The study analyzes data from a large-scale survey of Taiwanese students and explores the relationships between home resources (e.g., parental education level, family income) and school environment (e.g., teacher quality, peer influence) on students' math performance. The paper provides valuable insights into the factors influencing student achievement and highlights the importance of considering both home and school contexts.",2024,gemini,AI
gemini,machine learning,Learning Continuous User Representations through Hybrid Filtering with doc2vec,This paper proposes a novel approach for learning continuous user representations through hybrid filtering with doc2vec. The method combines traditional collaborative filtering techniques with the power of doc2vec to represent users as vectors in a continuous space. This hybrid approach leverages both user-item interactions and textual information about users to construct a more comprehensive and informative user representation. The paper demonstrates the effectiveness of this method in improving recommendation systems and provides insights into the benefits of combining different data sources.,2024,gemini,AI
gemini,machine learning,Deep Reinforcement Learning for List-wise Recommendations,"This paper explores the use of deep reinforcement learning for list-wise recommendations, a challenging task that involves ranking a set of items based on user preferences. The proposed approach leverages the power of deep reinforcement learning to optimize the ranking policy by directly maximizing user satisfaction. The paper evaluates the performance of the proposed method on various recommendation datasets and demonstrates its ability to achieve high-quality recommendations with low computational cost.",2024,gemini,AI
gemini,machine learning,Molecular enhanced sampling with autoencoders: On-the-fly collective variable discovery and accelerated free energy landscape exploration,"This paper introduces a novel approach for molecular enhanced sampling using autoencoders. The method leverages the ability of autoencoders to discover and represent collective variables in molecular simulations. By learning the latent space representation of molecular configurations, the method enables accelerated exploration of the free energy landscape. This approach offers significant advantages in terms of efficiency and accuracy compared to traditional enhanced sampling techniques and holds promise for advancing molecular simulations and drug discovery.",2024,gemini,AI
gemini,machine learning,Orbital Period Changes in WZ Sagittae,"This paper presents an analysis of the orbital period changes in WZ Sagittae, a binary star system exhibiting unusual orbital behavior. The authors analyze long-term observational data to investigate the nature of these period changes and propose a theoretical model to explain the observed variations. The research sheds light on the dynamics of binary star systems and provides insights into the mechanisms that drive orbital evolution.",2024,gemini,AI
gemini,machine learning,"A dynamic network model with persistent links and node-specific latent variables, with an application to the interbank market","This paper proposes a novel dynamic network model that incorporates persistent links and node-specific latent variables. The model is applied to analyze the interbank market, capturing the interconnectedness and complex dynamics of financial institutions. The model accounts for both the stable relationships between banks and the evolving characteristics of individual institutions, providing a more realistic representation of the interbank network. The study provides insights into the interconnectedness and resilience of the financial system and contributes to the development of better risk management strategies.",2024,gemini,AI
gemini,machine learning,A Real-time and Registration-free Framework for Dynamic Shape Instantiation,"This paper presents a real-time and registration-free framework for dynamic shape instantiation. The framework enables the generation of realistic and dynamic 3D shapes from input data, without requiring explicit registration or pre-defined shape models. The approach leverages a deep learning model trained on a dataset of dynamic shapes and can handle a wide range of shape variations. This work has potential applications in various fields, including computer graphics, animation, and robotics.",2024,gemini,AI
gemini,machine learning,Theory of Deep Learning III: explaining the non-overfitting puzzle,"This paper delves into the ""non-overfitting puzzle"" in deep learning, proposing a theoretical framework to explain why deep neural networks can generalize well despite their large capacity. The paper introduces the concept of ""implicit regularization"" and argues that the training process of deep neural networks implicitly biases towards certain function spaces that promote generalization. This work provides a deeper understanding of the theoretical underpinnings of deep learning and offers insights into the mechanisms behind its success.",2024,gemini,AI
gemini,machine learning,PAC-Bayesian Margin Bounds for Convolutional Neural Networks,This paper investigates the use of PAC-Bayesian margin bounds for convolutional neural networks (CNNs). The authors derive new theoretical bounds on the generalization error of CNNs based on the margin distribution of the training data. These bounds offer theoretical guarantees on the performance of CNNs and provide insights into the role of margin maximization in achieving good generalization.,2024,gemini,AI
