Author_name,topic,title,Abstract,year,Source,label
EB Hunt,Artificial Intelligence,Artificial intelligence,,2014,scholarly,human
"MI Jordan, TM Mitchell",Machine Learning,"Machine learning: Trends, perspectives, and prospects",Machine learning addresses the question of how to build computers that improve  Recent  progress in machine learning has been driven both by the development of new learning,2014,scholarly,human
"Y Baştanlar, M Özuysal",Machine Learning,Introduction to machine learning,"to the development of sophisticated machine learning approaches for this application area.   of machine learning such as feature assessment, unsupervised versus supervised learning",2014,scholarly,human
"C Rudin, KL Wagstaff",Machine Learning,Machine learning for science and society,for Science and Society” showcases machine learning work with influence on  machine  learning work that addresses problems of importance to science and society. Machine learning (,2014,scholarly,human
"H Wang, Z Lei, X Zhang, B Zhou, J Peng",Machine Learning,Machine learning basics,"To obtain theoretical guarantees about generalization of a machine learning algorithm,  we assume all the samples are drawn from a distribution p(x, y), and calculate generalization",2014,scholarly,human
"AL Boulesteix, M Schmid",Machine Learning,Machine learning versus statistical modeling,"questionable whether machine learning methods should be  modeling, however, machine  learning methods have a lot to  priority (and anyway machine learning methods also provide",2014,scholarly,human
"CS Greenberg, D Bansé, GR Doddington",Machine Learning,The NIST 2014 speaker recognition i-vector machine learning challenge,During late-2013 through mid-2014 NIST coordinated a special machine learning challenge  based on the i-vector paradigm widely used by state-of-the-art speaker recognition systems.,2014,scholarly,human
"T Calders, F Esposito, E Hüllermeier, R Meo",Machine Learning,Preface to ECML PKDD 2014: Joint European Conference on Machine Learning and Knowledge Discovery in Databases,"Recently, machine learning has been widely adopted in search and advertising, mainly due  to  to use machine learning to build effective ranking models (which we call learning to rank)",2014,scholarly,human
"F Barboza, H Kimura, E Altman",Machine Learning,Machine learning models and bankruptcy prediction,"Comparing the best models, with all predictive variables, the machine learning technique   and Yen (2014) and Yeh, Chi, and Lin (2014). In particular, for machine learning mechanisms,",2014,scholarly,human
"PY Simard, S Amershi, DM Chickering",Machine Learning,Machine teaching: A new paradigm for building machine learning systems,"decoupling knowledge about machine learning algorithms from the process of teaching, we  can accelerate innovation and empower millions of new uses for machine learning models.",2014,scholarly,human
"L Zhou, S Pan, J Wang, AV Vasilakos",Machine Learning,Machine learning on big data: Opportunities and challenges,Machine learning (ML) is continuously unleashing its power in a wide range of applications.  It has been pushed to the forefront in recent years partly owing to the advent of big data. ML,2014,scholarly,human
